epoch	prec1_B	prec5_B
0	12.5	21.590909957885742
1	15.909090995788574	36.931819915771484
2	37.5	46.590911865234375
3	44.8863639831543	65.34091186523438
4	44.8863639831543	60.22727584838867
5	51.1363639831543	68.75
6	61.931819915771484	74.43182373046875
7	60.79545593261719	80.11363983154297
8	64.7727279663086	84.09091186523438
9	68.75	85.2272720336914
10	74.43182373046875	88.06818389892578
11	72.15909576416016	87.5
12	75.56818389892578	94.31818389892578
13	77.2727279663086	92.61363983154297
14	84.09091186523438	93.75
15	80.68182373046875	90.34091186523438
16	85.79545593261719	93.75
17	87.5	96.59091186523438
18	88.63636779785156	94.31818389892578
19	85.79545593261719	95.45455169677734
20	85.2272720336914	94.88636779785156
21	88.06818389892578	96.59091186523438
22	88.06818389892578	96.0227279663086
23	82.38636779785156	96.0227279663086
24	91.4772720336914	94.88636779785156
25	90.34091186523438	98.29545593261719
26	86.36363983154297	94.31818389892578
27	88.06818389892578	97.15909576416016
28	91.4772720336914	97.7272720336914
29	88.06818389892578	95.45455169677734
30	90.34091186523438	97.15909576416016
31	91.4772720336914	99.43182373046875
32	90.34091186523438	97.7272720336914
33	88.63636779785156	97.15909576416016
34	90.34091186523438	96.59091186523438
35	86.93182373046875	94.88636779785156
36	91.4772720336914	97.7272720336914
37	91.4772720336914	98.86363983154297
38	89.7727279663086	98.29545593261719
39	88.06818389892578	98.29545593261719
40	92.04545593261719	97.7272720336914
41	93.75	97.7272720336914
42	89.20455169677734	97.15909576416016
43	91.4772720336914	98.29545593261719
44	92.04545593261719	98.29545593261719
45	91.4772720336914	98.29545593261719
46	85.2272720336914	96.0227279663086
47	90.34091186523438	98.86363983154297
48	90.34091186523438	97.15909576416016
49	92.04545593261719	98.86363983154297
