epoch	prec1_T	prec5_T
0	11.36363697052002	24.43181800842285
1	21.022727966308594	33.522727966308594
2	15.340909957885742	33.522727966308594
3	28.40909194946289	42.04545593261719
4	34.090911865234375	54.54545593261719
5	40.90909194946289	63.06818389892578
6	43.181819915771484	61.931819915771484
7	52.272727966308594	75.0
8	49.431819915771484	82.95455169677734
9	50.56818389892578	80.11363983154297
10	63.06818389892578	87.5
11	62.5	87.5
12	67.04545593261719	90.34091186523438
13	73.29545593261719	94.31818389892578
14	78.40909576416016	91.4772720336914
15	75.0	93.75
16	68.75	90.90909576416016
17	82.38636779785156	96.59091186523438
18	77.84091186523438	91.4772720336914
19	78.40909576416016	98.29545593261719
20	76.70454406738281	93.18182373046875
21	79.54545593261719	94.31818389892578
22	79.54545593261719	94.88636779785156
23	79.54545593261719	95.45455169677734
24	81.81818389892578	95.45455169677734
25	85.2272720336914	97.15909576416016
26	85.2272720336914	98.29545593261719
27	83.5227279663086	96.59091186523438
28	81.81818389892578	95.45455169677734
29	86.93182373046875	97.15909576416016
30	88.06818389892578	97.15909576416016
31	85.2272720336914	97.7272720336914
32	87.5	96.59091186523438
33	85.2272720336914	95.45455169677734
34	84.65909576416016	95.45455169677734
35	86.93182373046875	96.0227279663086
36	88.06818389892578	95.45455169677734
37	90.34091186523438	96.0227279663086
38	85.79545593261719	97.7272720336914
39	86.93182373046875	97.7272720336914
40	91.4772720336914	98.29545593261719
41	87.5	96.59091186523438
42	89.20455169677734	97.7272720336914
43	89.7727279663086	96.59091186523438
44	85.2272720336914	94.31818389892578
45	90.90909576416016	96.59091186523438
46	86.36363983154297	95.45455169677734
47	85.79545593261719	97.7272720336914
48	90.90909576416016	98.29545593261719
49	90.90909576416016	97.7272720336914
