epoch	prec1_T	prec5_T
0	18.75	33.522727966308594
1	35.79545593261719	55.681819915771484
2	40.340911865234375	67.04545593261719
3	50.56818389892578	79.54545593261719
4	57.95454788208008	79.54545593261719
5	59.090911865234375	85.2272720336914
6	66.4772720336914	86.36363983154297
7	61.931819915771484	83.5227279663086
8	61.931819915771484	86.93182373046875
9	69.31818389892578	85.79545593261719
10	71.0227279663086	85.2272720336914
11	71.59091186523438	88.06818389892578
12	67.61363983154297	88.63636779785156
13	76.13636779785156	92.04545593261719
14	75.56818389892578	93.18182373046875
15	76.13636779785156	90.90909576416016
16	77.2727279663086	93.18182373046875
17	78.40909576416016	92.61363983154297
18	81.25	93.75
19	82.95455169677734	94.31818389892578
20	79.54545593261719	93.18182373046875
21	86.93182373046875	95.45455169677734
22	82.95455169677734	94.31818389892578
23	84.09091186523438	96.0227279663086
24	87.5	95.45455169677734
25	86.36363983154297	97.15909576416016
26	89.7727279663086	96.59091186523438
27	90.34091186523438	97.7272720336914
28	94.88636779785156	97.7272720336914
29	92.04545593261719	98.86363983154297
30	90.90909576416016	96.59091186523438
31	89.20455169677734	96.0227279663086
32	95.45455169677734	99.43182373046875
33	92.61363983154297	97.7272720336914
34	93.18182373046875	97.15909576416016
35	95.45455169677734	98.86363983154297
36	94.31818389892578	97.7272720336914
37	92.04545593261719	98.29545593261719
38	89.7727279663086	96.0227279663086
39	94.88636779785156	100.0
40	92.61363983154297	98.29545593261719
41	93.75	98.86363983154297
42	94.31818389892578	98.86363983154297
43	96.0227279663086	98.29545593261719
44	96.0227279663086	98.29545593261719
45	96.59091186523438	99.43182373046875
46	96.0227279663086	96.59091186523438
47	94.31818389892578	99.43182373046875
48	93.18182373046875	97.7272720336914
49	96.59091186523438	98.86363983154297
