epoch	prec1_T	prec1_B
0	22.72727394104004	10.795454978942871
1	48.29545593261719	16.47727394104004
2	63.6363639831543	26.704545974731445
3	65.90909576416016	22.15909194946289
4	77.84091186523438	19.31818199157715
5	80.68182373046875	27.272727966308594
6	84.09091186523438	25.0
7	78.9772720336914	28.97727394104004
8	81.81818389892578	31.25
9	78.9772720336914	24.43181800842285
10	86.36363983154297	21.022727966308594
11	84.09091186523438	27.272727966308594
12	81.81818389892578	24.43181800842285
13	82.38636779785156	23.295455932617188
14	86.36363983154297	23.863637924194336
15	86.36363983154297	23.295455932617188
16	83.5227279663086	26.704545974731445
17	92.04545593261719	27.840909957885742
18	90.90909576416016	26.704545974731445
19	88.63636779785156	25.56818199157715
20	91.4772720336914	26.136363983154297
21	92.61363983154297	35.227272033691406
22	93.75	29.545455932617188
23	88.63636779785156	26.136363983154297
24	90.34091186523438	28.97727394104004
25	91.4772720336914	32.3863639831543
26	91.4772720336914	31.25
27	93.18182373046875	36.3636360168457
28	93.18182373046875	41.47727584838867
29	94.88636779785156	34.65909194946289
30	95.45455169677734	32.95454788208008
31	90.34091186523438	31.25
32	93.18182373046875	34.65909194946289
33	90.90909576416016	44.8863639831543
34	92.04545593261719	39.772727966308594
35	95.45455169677734	32.3863639831543
36	96.0227279663086	38.6363639831543
37	93.75	40.340911865234375
38	94.31818389892578	39.772727966308594
39	96.59091186523438	38.6363639831543
40	95.45455169677734	36.3636360168457
41	92.04545593261719	46.022727966308594
42	94.31818389892578	41.47727584838867
43	93.18182373046875	43.75
44	94.88636779785156	45.45454788208008
45	91.4772720336914	40.340911865234375
46	95.45455169677734	45.45454788208008
47	94.31818389892578	39.20454788208008
48	93.18182373046875	40.340911865234375
49	93.18182373046875	35.79545593261719
