epoch	prec1_T	prec1_B
0	15.254237174987793	8.474575996398926
1	30.508474349975586	13.559322357177734
2	33.8983039855957	22.033897399902344
3	44.06779479980469	28.81355857849121
4	30.508474349975586	15.254237174987793
5	57.62711715698242	16.94915199279785
6	57.62711715698242	18.644067764282227
7	61.01694869995117	32.20338821411133
8	71.18643951416016	38.98305130004883
9	66.10169219970703	40.6779670715332
10	64.40677642822266	32.20338821411133
11	74.5762710571289	35.59321975708008
12	67.7966079711914	25.423728942871094
13	76.27118682861328	35.59321975708008
14	76.27118682861328	40.6779670715332
15	83.05084991455078	55.93220520019531
16	72.88135528564453	44.06779479980469
17	69.49152374267578	38.98305130004883
18	84.74576568603516	52.54237365722656
19	72.88135528564453	50.84745788574219
20	79.66101837158203	52.54237365722656
21	77.96610260009766	52.54237365722656
22	89.83050537109375	62.71186447143555
23	76.27118682861328	61.01694869995117
24	84.74576568603516	57.62711715698242
25	86.44068145751953	54.23728942871094
26	93.2203369140625	54.23728942871094
27	91.52542114257812	49.15254211425781
28	83.05084991455078	57.62711715698242
29	79.66101837158203	50.84745788574219
30	86.44068145751953	55.93220520019531
31	89.83050537109375	52.54237365722656
32	86.44068145751953	57.62711715698242
33	84.74576568603516	54.23728942871094
34	86.44068145751953	64.40677642822266
35	89.83050537109375	57.62711715698242
36	91.52542114257812	64.40677642822266
37	91.52542114257812	66.10169219970703
38	84.74576568603516	62.71186447143555
39	91.52542114257812	61.01694869995117
40	94.91525268554688	66.10169219970703
41	86.44068145751953	64.40677642822266
42	84.74576568603516	59.3220329284668
43	84.74576568603516	72.88135528564453
44	93.2203369140625	57.62711715698242
45	84.74576568603516	52.54237365722656
46	84.74576568603516	59.3220329284668
47	94.91525268554688	67.7966079711914
48	89.83050537109375	64.40677642822266
