epoch	prec1_B	prec5_B
0	10.227272987365723	20.454545974731445
1	9.090909004211426	19.31818199157715
2	15.909090995788574	28.40909194946289
3	18.18181800842285	34.090911865234375
4	26.136363983154297	40.90909194946289
5	25.0	40.90909194946289
6	36.3636360168457	53.40909194946289
7	30.681819915771484	43.181819915771484
8	38.6363639831543	56.81818389892578
9	39.772727966308594	62.5
10	43.181819915771484	59.090911865234375
11	39.772727966308594	61.36363983154297
12	47.72727584838867	60.22727584838867
13	51.1363639831543	69.31818389892578
14	42.04545593261719	67.04545593261719
15	48.8636360168457	64.7727279663086
16	50.0	70.45454406738281
17	59.090911865234375	73.86363983154297
18	46.590911865234375	68.18182373046875
19	60.22727584838867	79.54545593261719
20	61.36363983154297	79.54545593261719
21	53.40909194946289	72.7272720336914
22	52.272727966308594	71.59091186523438
23	50.0	72.7272720336914
24	61.36363983154297	80.68182373046875
25	65.90909576416016	80.68182373046875
26	53.40909194946289	73.86363983154297
27	54.54545593261719	75.0
28	63.6363639831543	84.09091186523438
29	68.18182373046875	84.09091186523438
30	60.22727584838867	75.0
31	57.95454788208008	77.2727279663086
32	55.681819915771484	81.81818389892578
33	68.18182373046875	81.81818389892578
34	61.36363983154297	78.40909576416016
35	64.7727279663086	82.95455169677734
36	60.22727584838867	75.0
37	63.6363639831543	81.81818389892578
38	59.090911865234375	80.68182373046875
39	59.090911865234375	76.13636779785156
40	61.36363983154297	84.09091186523438
41	64.7727279663086	82.95455169677734
42	64.7727279663086	80.68182373046875
43	59.090911865234375	77.2727279663086
44	60.22727584838867	78.40909576416016
45	68.18182373046875	76.13636779785156
46	53.40909194946289	69.31818389892578
47	67.04545593261719	79.54545593261719
48	72.7272720336914	84.09091186523438
49	72.7272720336914	85.2272720336914
