epoch	prec1_B	prec5_B
0	2.6666667461395264	5.6666669845581055
1	4.6666669845581055	8.666666984558105
2	3.6666667461395264	7.0
3	6.6666669845581055	12.0
4	6.0	12.0
5	7.0	14.333333969116211
6	7.0	12.666666984558105
7	10.0	19.0
8	12.666666984558105	21.0
9	9.333333969116211	21.0
10	14.666666984558105	23.33333396911621
11	15.333333969116211	22.33333396911621
12	18.0	28.33333396911621
13	16.0	26.666667938232422
14	18.666667938232422	30.0
15	19.33333396911621	27.0
16	19.33333396911621	33.66666793823242
17	17.666667938232422	33.0
18	23.0	35.333335876464844
19	27.666667938232422	39.66666793823242
20	22.666667938232422	35.333335876464844
21	22.33333396911621	35.333335876464844
22	29.0	40.333335876464844
23	25.33333396911621	39.333335876464844
24	30.33333396911621	44.66666793823242
25	29.33333396911621	44.66666793823242
26	27.33333396911621	41.66666793823242
27	31.0	44.0
28	30.666667938232422	46.333335876464844
29	33.333335876464844	48.66666793823242
30	31.666667938232422	46.66666793823242
31	36.66666793823242	53.0
32	33.333335876464844	46.0
33	39.66666793823242	54.0
34	35.66666793823242	49.66666793823242
35	31.0	50.333335876464844
36	37.0	49.66666793823242
37	38.0	49.66666793823242
38	35.66666793823242	57.0
39	37.0	52.0
40	40.333335876464844	57.333335876464844
41	40.333335876464844	55.333335876464844
42	36.0	48.66666793823242
43	38.0	54.0
44	37.0	57.66666793823242
45	39.0	52.0
46	42.0	54.66666793823242
47	43.0	56.0
48	41.333335876464844	54.66666793823242
49	39.333335876464844	57.333335876464844
