epoch	prec1_T	prec5_T
0	15.909090995788574	29.545455932617188
1	18.18181800842285	44.31818389892578
2	35.227272033691406	63.6363639831543
3	38.6363639831543	61.36363983154297
4	53.40909194946289	76.13636779785156
5	46.590911865234375	76.13636779785156
6	61.36363983154297	88.63636779785156
7	63.6363639831543	87.5
8	70.45454406738281	89.7727279663086
9	70.45454406738281	87.5
10	65.90909576416016	86.36363983154297
11	84.09091186523438	90.90909576416016
12	73.86363983154297	94.31818389892578
13	78.40909576416016	90.90909576416016
14	77.2727279663086	93.18182373046875
15	76.13636779785156	89.7727279663086
16	80.68182373046875	95.45455169677734
17	81.81818389892578	94.31818389892578
18	82.95455169677734	90.90909576416016
19	82.95455169677734	94.31818389892578
20	87.5	96.59091186523438
21	86.36363983154297	95.45455169677734
22	88.63636779785156	94.31818389892578
23	81.81818389892578	95.45455169677734
24	86.36363983154297	95.45455169677734
25	87.5	93.18182373046875
26	87.5	93.18182373046875
27	92.04545593261719	97.7272720336914
28	88.63636779785156	98.86363983154297
29	93.18182373046875	96.59091186523438
30	94.31818389892578	98.86363983154297
31	96.59091186523438	98.86363983154297
32	94.31818389892578	97.7272720336914
33	94.31818389892578	100.0
34	96.59091186523438	98.86363983154297
35	93.18182373046875	96.59091186523438
36	95.45455169677734	98.86363983154297
37	95.45455169677734	97.7272720336914
38	95.45455169677734	98.86363983154297
39	97.7272720336914	98.86363983154297
40	90.90909576416016	95.45455169677734
41	95.45455169677734	98.86363983154297
42	87.5	95.45455169677734
43	94.31818389892578	98.86363983154297
44	95.45455169677734	98.86363983154297
45	93.18182373046875	98.86363983154297
46	93.18182373046875	97.7272720336914
47	97.7272720336914	100.0
48	97.7272720336914	97.7272720336914
49	92.04545593261719	98.86363983154297
