epoch	prec1_B	prec5_B
0	7.954545497894287	18.18181800842285
1	15.909090995788574	23.863637924194336
2	17.045455932617188	29.545455932617188
3	17.045455932617188	20.454545974731445
4	14.772727966308594	21.590909957885742
5	15.909090995788574	29.545455932617188
6	6.818181991577148	19.31818199157715
7	11.36363697052002	26.136363983154297
8	19.31818199157715	27.272727966308594
9	18.18181800842285	30.681819915771484
10	17.045455932617188	36.3636360168457
11	18.18181800842285	34.090911865234375
12	25.0	32.95454788208008
13	26.136363983154297	43.181819915771484
14	36.3636360168457	43.181819915771484
15	13.636363983154297	30.681819915771484
16	18.18181800842285	37.5
17	17.045455932617188	34.090911865234375
18	28.40909194946289	39.772727966308594
19	28.40909194946289	45.45454788208008
20	25.0	43.181819915771484
21	22.72727394104004	35.227272033691406
22	30.681819915771484	43.181819915771484
23	30.681819915771484	45.45454788208008
24	29.545455932617188	40.90909194946289
25	40.90909194946289	56.81818389892578
26	30.681819915771484	53.40909194946289
27	32.95454788208008	47.72727584838867
28	27.272727966308594	43.181819915771484
29	38.6363639831543	59.090911865234375
30	31.81818199157715	45.45454788208008
31	32.95454788208008	47.72727584838867
32	30.681819915771484	47.72727584838867
33	47.72727584838867	59.090911865234375
34	39.772727966308594	54.54545593261719
35	36.3636360168457	54.54545593261719
36	42.04545593261719	60.22727584838867
37	31.81818199157715	50.0
38	40.90909194946289	52.272727966308594
39	40.90909194946289	53.40909194946289
40	43.181819915771484	65.90909576416016
41	40.90909194946289	54.54545593261719
42	38.6363639831543	47.72727584838867
43	42.04545593261719	55.681819915771484
44	40.90909194946289	63.6363639831543
45	39.772727966308594	60.22727584838867
46	45.45454788208008	60.22727584838867
47	44.31818389892578	61.36363983154297
48	48.8636360168457	65.90909576416016
49	43.181819915771484	60.22727584838867
