epoch	prec1_B	prec5_B
0	10.795454978942871	17.045455932617188
1	11.931818962097168	22.72727394104004
2	11.931818962097168	25.0
3	14.204545974731445	22.15909194946289
4	8.522727966308594	22.72727394104004
5	13.636363983154297	25.56818199157715
6	18.75	28.97727394104004
7	17.613636016845703	30.681819915771484
8	19.31818199157715	33.522727966308594
9	18.75	32.95454788208008
10	26.136363983154297	34.090911865234375
11	20.454545974731445	39.20454788208008
12	18.18181800842285	28.40909194946289
13	18.18181800842285	34.090911865234375
14	27.272727966308594	43.181819915771484
15	24.43181800842285	39.20454788208008
16	23.863637924194336	41.47727584838867
17	26.704545974731445	40.90909194946289
18	22.72727394104004	39.20454788208008
19	32.3863639831543	46.590911865234375
20	26.704545974731445	51.1363639831543
21	31.81818199157715	50.56818389892578
22	31.81818199157715	42.04545593261719
23	27.840909957885742	44.31818389892578
24	32.95454788208008	51.70454788208008
25	31.81818199157715	48.8636360168457
26	28.40909194946289	48.29545593261719
27	35.227272033691406	53.40909194946289
28	33.522727966308594	52.272727966308594
29	38.6363639831543	57.3863639831543
30	35.79545593261719	58.522727966308594
31	42.04545593261719	60.79545593261719
32	29.545455932617188	50.0
33	39.772727966308594	59.65909194946289
34	25.56818199157715	50.56818389892578
35	41.47727584838867	61.36363983154297
36	39.772727966308594	57.3863639831543
37	40.90909194946289	57.95454788208008
38	38.06818389892578	53.40909194946289
39	42.04545593261719	60.22727584838867
40	40.90909194946289	60.79545593261719
41	44.31818389892578	65.90909576416016
42	46.022727966308594	67.04545593261719
43	42.6136360168457	65.34091186523438
44	43.75	63.06818389892578
45	45.45454788208008	60.79545593261719
46	44.31818389892578	62.5
47	48.29545593261719	67.04545593261719
48	38.06818389892578	63.6363639831543
49	49.431819915771484	64.7727279663086
