epoch	prec1_T	prec5_T
0	18.666667938232422	33.333335876464844
1	26.0	47.333335876464844
2	32.66666793823242	61.333335876464844
3	45.333335876464844	72.66667175292969
4	53.333335876464844	80.0
5	59.333335876464844	76.66667175292969
6	60.66666793823242	79.33333587646484
7	54.0	76.66667175292969
8	62.0	85.33333587646484
9	68.0	89.33333587646484
10	70.66667175292969	91.33333587646484
11	70.0	87.33333587646484
12	74.0	88.66667175292969
13	74.66667175292969	90.0
14	66.0	86.66667175292969
15	74.0	85.33333587646484
16	71.33333587646484	90.66667175292969
17	78.66667175292969	92.0
18	78.66667175292969	92.0
19	75.33333587646484	92.0
20	70.66667175292969	94.0
21	75.33333587646484	90.0
22	79.33333587646484	94.0
23	76.0	92.0
24	76.0	93.33333587646484
25	74.0	90.0
26	76.66667175292969	90.0
27	78.66667175292969	90.66667175292969
28	81.33333587646484	92.66667175292969
29	74.66667175292969	87.33333587646484
30	78.0	90.66667175292969
31	82.66667175292969	92.66667175292969
32	80.66667175292969	92.0
33	78.66667175292969	93.33333587646484
34	79.33333587646484	93.33333587646484
35	75.33333587646484	89.33333587646484
36	76.66667175292969	89.33333587646484
37	69.33333587646484	86.0
38	78.66667175292969	94.0
39	76.66667175292969	90.66667175292969
40	77.33333587646484	92.0
41	77.33333587646484	90.0
42	74.0	90.66667175292969
43	78.66667175292969	88.66667175292969
44	76.0	89.33333587646484
45	74.66667175292969	91.33333587646484
46	74.66667175292969	91.33333587646484
47	74.0	87.33333587646484
48	74.66667175292969	90.66667175292969
49	82.66667175292969	92.0
