epoch	prec1_B	prec5_B
0	10.227272987365723	17.045455932617188
1	12.5	24.43181800842285
2	14.772727966308594	27.840909957885742
3	13.636363983154297	27.272727966308594
4	11.931818962097168	25.56818199157715
5	12.5	23.295455932617188
6	17.613636016845703	26.136363983154297
7	14.772727966308594	27.272727966308594
8	14.772727966308594	35.79545593261719
9	17.045455932617188	28.97727394104004
10	19.31818199157715	29.545455932617188
11	19.31818199157715	26.704545974731445
12	18.75	28.40909194946289
13	16.47727394104004	28.97727394104004
14	21.590909957885742	32.3863639831543
15	18.18181800842285	32.95454788208008
16	18.75	31.81818199157715
17	22.15909194946289	35.79545593261719
18	23.863637924194336	37.5
19	23.863637924194336	40.90909194946289
20	22.15909194946289	35.79545593261719
21	23.863637924194336	36.3636360168457
22	24.43181800842285	38.06818389892578
23	22.72727394104004	40.90909194946289
24	22.15909194946289	38.06818389892578
25	34.65909194946289	46.590911865234375
26	25.0	42.04545593261719
27	27.272727966308594	47.72727584838867
28	28.40909194946289	45.45454788208008
29	30.681819915771484	47.15909194946289
30	30.113637924194336	47.15909194946289
31	30.113637924194336	46.590911865234375
32	27.840909957885742	45.45454788208008
33	30.681819915771484	46.022727966308594
34	27.840909957885742	43.181819915771484
35	26.136363983154297	44.31818389892578
36	36.931819915771484	51.70454788208008
37	34.090911865234375	51.70454788208008
38	34.090911865234375	52.840911865234375
39	34.090911865234375	52.272727966308594
40	33.522727966308594	49.431819915771484
41	28.97727394104004	52.272727966308594
42	39.20454788208008	56.81818389892578
43	32.95454788208008	51.70454788208008
44	40.90909194946289	59.65909194946289
45	39.772727966308594	51.1363639831543
