epoch	prec1_T	prec5_T
0	18.75	36.931819915771484
1	35.79545593261719	61.931819915771484
2	46.590911865234375	73.86363983154297
3	47.72727584838867	74.43182373046875
4	53.40909194946289	77.84091186523438
5	64.7727279663086	82.38636779785156
6	64.7727279663086	85.79545593261719
7	63.6363639831543	83.5227279663086
8	68.75	88.06818389892578
9	73.29545593261719	88.06818389892578
10	74.43182373046875	92.61363983154297
11	77.84091186523438	91.4772720336914
12	74.43182373046875	91.4772720336914
13	74.43182373046875	88.06818389892578
14	78.9772720336914	93.75
15	76.13636779785156	92.61363983154297
16	81.25	92.61363983154297
17	82.38636779785156	94.31818389892578
18	84.65909576416016	93.18182373046875
19	81.81818389892578	96.0227279663086
20	83.5227279663086	95.45455169677734
21	88.06818389892578	97.7272720336914
22	86.36363983154297	94.88636779785156
23	86.93182373046875	94.31818389892578
24	85.2272720336914	93.75
25	89.20455169677734	97.15909576416016
26	91.4772720336914	97.7272720336914
27	92.04545593261719	96.0227279663086
28	93.18182373046875	97.7272720336914
29	93.75	98.29545593261719
30	93.18182373046875	98.29545593261719
31	93.75	96.59091186523438
32	94.88636779785156	97.7272720336914
33	90.90909576416016	98.29545593261719
34	92.04545593261719	96.59091186523438
35	97.15909576416016	99.43182373046875
36	94.31818389892578	98.29545593261719
37	96.0227279663086	98.29545593261719
38	91.4772720336914	99.43182373046875
39	97.15909576416016	98.86363983154297
40	93.75	97.7272720336914
41	96.59091186523438	98.86363983154297
42	92.61363983154297	98.86363983154297
43	95.45455169677734	99.43182373046875
44	96.0227279663086	98.29545593261719
45	93.75	98.29545593261719
46	95.45455169677734	97.7272720336914
47	96.0227279663086	98.86363983154297
48	92.61363983154297	98.29545593261719
49	97.7272720336914	99.43182373046875
