epoch	prec1_T	prec1_B
0	12.068965911865234	12.068965911865234
1	8.620689392089844	10.344827651977539
2	24.13793182373047	15.517241477966309
3	32.75862121582031	20.689655303955078
4	36.2068977355957	25.86206817626953
5	55.17241287231445	18.965517044067383
6	68.96551513671875	27.586206436157227
7	58.620689392089844	24.13793182373047
8	55.17241287231445	39.65517044067383
9	60.344825744628906	32.75862121582031
10	67.24137878417969	36.2068977355957
11	82.75862121582031	43.10344696044922
12	72.4137954711914	41.379310607910156
13	72.4137954711914	48.27586364746094
14	87.93103790283203	60.344825744628906
15	82.75862121582031	60.344825744628906
16	82.75862121582031	46.55172348022461
17	86.20689392089844	56.89655303955078
18	87.93103790283203	51.72413635253906
19	89.6551742553711	63.7931022644043
20	86.20689392089844	65.51724243164062
21	81.03448486328125	65.51724243164062
22	87.93103790283203	63.7931022644043
23	96.55172729492188	56.89655303955078
24	87.93103790283203	63.7931022644043
25	93.10344696044922	62.068965911865234
26	94.82758331298828	60.344825744628906
27	89.6551742553711	63.7931022644043
28	91.37931060791016	65.51724243164062
29	94.82758331298828	63.7931022644043
30	94.82758331298828	67.24137878417969
31	91.37931060791016	67.24137878417969
32	89.6551742553711	58.620689392089844
33	93.10344696044922	63.7931022644043
34	89.6551742553711	67.24137878417969
35	89.6551742553711	60.344825744628906
36	89.6551742553711	60.344825744628906
37	94.82758331298828	72.4137954711914
38	89.6551742553711	74.13793182373047
39	87.93103790283203	70.68965148925781
40	86.20689392089844	72.4137954711914
41	93.10344696044922	65.51724243164062
42	87.93103790283203	67.24137878417969
43	89.6551742553711	77.5862045288086
44	94.82758331298828	68.96551513671875
45	87.93103790283203	70.68965148925781
46	94.82758331298828	82.75862121582031
47	87.93103790283203	75.86206817626953
48	89.6551742553711	70.68965148925781
49	89.6551742553711	72.4137954711914
