epoch	prec1_T	prec1_B
0	26.0	1.0
1	28.33333396911621	2.3333334922790527
2	40.333335876464844	2.6666667461395264
3	57.333335876464844	4.6666669845581055
4	61.333335876464844	8.0
5	67.66667175292969	10.0
6	69.66667175292969	10.666666984558105
7	71.0	11.666666984558105
8	75.0	13.666666984558105
9	73.0	13.666666984558105
10	74.33333587646484	15.666666984558105
11	74.0	14.666666984558105
12	77.66667175292969	15.333333969116211
13	75.33333587646484	17.666667938232422
14	76.0	16.666667938232422
15	76.66667175292969	16.666667938232422
16	76.0	17.666667938232422
17	75.66667175292969	22.0
18	79.33333587646484	23.33333396911621
19	78.33333587646484	21.666667938232422
20	78.0	28.0
21	77.66667175292969	24.666667938232422
22	81.66667175292969	29.666667938232422
23	81.0	28.0
24	81.33333587646484	26.666667938232422
25	79.33333587646484	30.666667938232422
26	78.66667175292969	29.666667938232422
27	81.0	31.33333396911621
28	79.0	29.33333396911621
29	81.66667175292969	31.33333396911621
30	82.0	34.333335876464844
31	82.66667175292969	35.0
32	80.0	33.66666793823242
33	78.33333587646484	32.66666793823242
34	76.33333587646484	35.66666793823242
35	82.66667175292969	38.0
36	80.0	42.66666793823242
37	81.33333587646484	35.66666793823242
38	82.0	37.0
39	82.0	39.0
40	81.33333587646484	36.333335876464844
41	83.33333587646484	38.0
42	77.33333587646484	40.333335876464844
43	77.66667175292969	40.0
44	81.33333587646484	40.0
45	79.66667175292969	36.66666793823242
46	80.0	39.66666793823242
47	83.0	41.0
48	80.66667175292969	42.0
49	82.66667175292969	40.333335876464844
