epoch	prec1_T	prec1_B
0	33.29230880737305	67.47692108154297
1	37.599998474121094	68.98461151123047
2	41.5076904296875	69.04615020751953
3	44.64615249633789	69.04615020751953
4	47.015384674072266	69.53845977783203
5	50.86153793334961	69.93846130371094
6	52.36922836303711	70.18461608886719
7	53.72307586669922	70.33846282958984
