epoch	prec1_T	prec5_T
0	15.909090995788574	34.65909194946289
1	40.340911865234375	58.522727966308594
2	48.8636360168457	72.7272720336914
3	48.8636360168457	77.84091186523438
4	61.36363983154297	84.09091186523438
5	60.79545593261719	83.5227279663086
6	60.79545593261719	88.06818389892578
7	61.36363983154297	81.81818389892578
8	64.7727279663086	86.36363983154297
9	75.0	89.20455169677734
10	75.56818389892578	92.04545593261719
11	67.61363983154297	87.5
12	72.7272720336914	90.90909576416016
13	74.43182373046875	88.06818389892578
14	73.29545593261719	92.61363983154297
15	73.86363983154297	92.61363983154297
16	83.5227279663086	94.31818389892578
17	81.25	93.75
18	81.25	94.88636779785156
19	80.11363983154297	94.31818389892578
20	78.40909576416016	90.34091186523438
21	87.5	96.0227279663086
22	91.4772720336914	97.15909576416016
23	80.68182373046875	92.61363983154297
24	86.36363983154297	94.88636779785156
25	95.45455169677734	97.7272720336914
26	93.18182373046875	97.7272720336914
27	89.20455169677734	96.0227279663086
28	91.4772720336914	96.59091186523438
29	92.61363983154297	98.86363983154297
30	89.7727279663086	96.59091186523438
31	89.20455169677734	96.59091186523438
32	95.45455169677734	97.7272720336914
33	93.75	97.7272720336914
34	93.18182373046875	97.15909576416016
35	93.75	98.29545593261719
36	92.61363983154297	97.15909576416016
37	97.15909576416016	98.86363983154297
38	95.45455169677734	97.7272720336914
39	96.59091186523438	98.86363983154297
40	94.88636779785156	97.7272720336914
41	93.75	96.59091186523438
42	92.61363983154297	99.43182373046875
43	94.31818389892578	98.29545593261719
44	94.31818389892578	97.15909576416016
45	93.18182373046875	97.15909576416016
46	99.43182373046875	99.43182373046875
47	94.88636779785156	98.86363983154297
48	93.18182373046875	98.86363983154297
49	92.04545593261719	97.15909576416016
