epoch	prec1_T	prec1_B
0	18.713451385498047	11.695906639099121
1	23.976608276367188	14.035087585449219
2	42.690059661865234	20.467836380004883
3	53.801170349121094	17.543859481811523
4	50.292396545410156	24.561403274536133
5	61.40351104736328	26.3157901763916
6	68.42105102539062	23.391813278198242
7	73.09941864013672	32.748538970947266
8	77.19298553466797	23.976608276367188
9	77.19298553466797	30.994152069091797
10	77.19298553466797	29.23976707458496
11	76.60818481445312	31.578947067260742
12	77.77777862548828	28.654970169067383
13	77.19298553466797	28.070175170898438
14	76.02339172363281	26.900585174560547
15	85.38011932373047	31.578947067260742
16	81.87134552001953	29.824562072753906
17	83.04093933105469	29.23976707458496
18	85.38011932373047	29.23976707458496
19	82.45613861083984	34.502925872802734
20	83.625732421875	25.730995178222656
21	90.64327239990234	35.08771896362305
22	84.21052551269531	36.842105865478516
23	87.71929931640625	39.766082763671875
24	88.8888931274414	36.25730895996094
25	88.30409240722656	36.25730895996094
26	91.22807312011719	38.011695861816406
27	89.47368621826172	39.766082763671875
28	87.71929931640625	40.35087585449219
29	88.30409240722656	40.935672760009766
30	90.05847930908203	36.842105865478516
31	88.30409240722656	45.029239654541016
32	90.64327239990234	45.614036560058594
33	91.22807312011719	40.935672760009766
34	93.56725311279297	46.198829650878906
35	92.39765930175781	44.4444465637207
36	90.64327239990234	42.690059661865234
37	91.8128662109375	45.029239654541016
38	88.8888931274414	44.4444465637207
39	91.22807312011719	49.707603454589844
40	88.8888931274414	47.3684196472168
41	91.8128662109375	41.520469665527344
42	91.22807312011719	42.105262756347656
43	88.30409240722656	43.859649658203125
44	91.8128662109375	50.292396545410156
45	92.39765930175781	43.27485275268555
46	89.47368621826172	47.3684196472168
47	91.22807312011719	48.53801345825195
48	91.8128662109375	52.6315803527832
49	92.98246002197266	52.6315803527832
