epoch	prec1_T	prec1_B
0	18.18181800842285	7.954545497894287
1	30.681819915771484	15.909090995788574
2	46.590911865234375	31.81818199157715
3	61.36363983154297	19.31818199157715
4	75.0	29.545455932617188
5	85.2272720336914	29.545455932617188
6	84.09091186523438	32.95454788208008
7	82.95455169677734	29.545455932617188
8	82.95455169677734	26.136363983154297
9	81.81818389892578	22.72727394104004
10	82.95455169677734	30.681819915771484
11	92.04545593261719	23.863637924194336
12	82.95455169677734	26.136363983154297
13	89.7727279663086	27.272727966308594
14	89.7727279663086	28.40909194946289
15	86.36363983154297	30.681819915771484
16	88.63636779785156	35.227272033691406
17	93.18182373046875	36.3636360168457
18	87.5	30.681819915771484
19	88.63636779785156	45.45454788208008
20	92.04545593261719	32.95454788208008
21	92.04545593261719	34.090911865234375
22	89.7727279663086	42.04545593261719
23	87.5	29.545455932617188
24	92.04545593261719	34.090911865234375
25	88.63636779785156	30.681819915771484
26	90.90909576416016	37.5
27	90.90909576416016	46.590911865234375
28	92.04545593261719	43.181819915771484
29	94.31818389892578	39.772727966308594
30	94.31818389892578	42.04545593261719
31	90.90909576416016	40.90909194946289
32	96.59091186523438	47.72727584838867
33	96.59091186523438	53.40909194946289
34	86.36363983154297	39.772727966308594
35	94.31818389892578	47.72727584838867
36	96.59091186523438	51.1363639831543
37	94.31818389892578	50.0
38	97.7272720336914	59.090911865234375
39	98.86363983154297	53.40909194946289
40	93.18182373046875	38.6363639831543
41	94.31818389892578	42.04545593261719
42	95.45455169677734	48.8636360168457
43	98.86363983154297	46.590911865234375
44	90.90909576416016	38.6363639831543
45	96.59091186523438	46.590911865234375
46	94.31818389892578	47.72727584838867
47	94.31818389892578	50.0
48	97.7272720336914	48.8636360168457
49	97.7272720336914	53.40909194946289
