epoch	prec1_B	prec5_B
0	16.47727394104004	23.295455932617188
1	32.3863639831543	48.29545593261719
2	51.70454788208008	68.18182373046875
3	63.6363639831543	76.70454406738281
4	64.7727279663086	79.54545593261719
5	72.7272720336914	87.5
6	78.40909576416016	88.63636779785156
7	69.31818389892578	86.93182373046875
8	81.25	91.4772720336914
9	79.54545593261719	89.7727279663086
10	81.81818389892578	90.90909576416016
11	76.70454406738281	89.20455169677734
12	76.70454406738281	90.34091186523438
13	76.13636779785156	91.4772720336914
14	81.81818389892578	92.61363983154297
15	86.36363983154297	96.0227279663086
16	82.38636779785156	92.61363983154297
17	87.5	95.45455169677734
18	82.95455169677734	94.31818389892578
19	85.79545593261719	97.7272720336914
20	90.90909576416016	97.7272720336914
21	87.5	93.75
22	85.2272720336914	97.15909576416016
23	86.36363983154297	96.59091186523438
24	89.7727279663086	97.7272720336914
25	91.4772720336914	95.45455169677734
26	88.06818389892578	97.7272720336914
27	88.06818389892578	97.15909576416016
28	90.90909576416016	97.7272720336914
29	92.04545593261719	98.29545593261719
30	90.34091186523438	96.59091186523438
31	90.34091186523438	98.29545593261719
32	92.04545593261719	98.29545593261719
33	94.88636779785156	98.86363983154297
34	92.04545593261719	99.43182373046875
35	94.88636779785156	98.29545593261719
36	93.18182373046875	98.86363983154297
37	93.75	98.86363983154297
38	93.18182373046875	98.29545593261719
39	93.75	99.43182373046875
40	93.75	97.7272720336914
41	96.59091186523438	98.86363983154297
42	91.4772720336914	97.15909576416016
43	93.18182373046875	98.86363983154297
44	96.0227279663086	100.0
45	94.31818389892578	98.86363983154297
46	94.88636779785156	98.86363983154297
47	90.34091186523438	99.43182373046875
48	95.45455169677734	99.43182373046875
49	95.45455169677734	99.43182373046875
